"代號","名稱","公佈日","配股價 / 溢價(折讓)","新股比例","現價 / 溢價(折讓)","配售代理","授權方式","配售方式","完成配售日期","狀態"
08363.hk,ＳＤＭ教育,30/07/24,0.14 / (12.5%),7.28%,0.088 / (37.14%),-,普通授權,新股,未公佈,配股中
01825.hk,STERLING GP,30/07/24,0.11 / (1.8%),20.0%,0.085 / (22.73%),紫荊融資,普通授權,新股,16/08/24,已完成
01821.hk,ESR,26/07/24,11.66 / (2.02%),0.76%,12.94 / 10.98%,-,普通授權,新股 - 代價發行,未公佈,配股中
01413.hk,鑄帝控股,26/07/24,0.18 / 24.14%,20.0%,0.065 / (63.89%),漢華,普通授權,新股,30/08/24,已完成
06829.hk,龍昇集團控股,26/07/24,0.064 / (19.0%),20.0%,1.61 / 2415.62%,聯合,普通授權,新股,09/08/24,已完成
01728.hk,正通汽車,25/07/24,0.125 / (13.79%),16.74%,0.143 / 14.4%,-,普通授權,新股,02/08/24,已完成
01119.hk,創夢天地,24/07/24,2.15 / (14.0%),7.63%,0.83 / (61.4%),華盛資本 & 浦銀國際 & 國泰君安,普通授權,新股,31/07/24,已完成
01676.hk,高地股份,24/07/24,1.4 / (1.41%),7.99%,0.55 / (60.71%),紫荊融資,普通授權,新股,14/08/24,已完成
01640.hk,千循科技,24/07/24,0.6 / (17.81%),16.67%,5.24 / 773.33%,-,普通授權,新股,13/08/24,已完成
08193.hk,亞太金融投資,23/07/24,0.1 / (9.09%),20.0%,0.25 / 150.0%,-,普通授權,新股,30/08/24,已完成
02399.hk,中國安儲能源,22/07/24,0.5 / 66.7%,10.66%,0.39 / (22.0%),-,特別授權,新股 - 代價發行,28/10/24,已完成
00970.hk,新耀萊,21/07/24,0.64 / (18.99%),19.0%,0.53 / (17.19%),-,普通授權,新股,31/07/24,已完成
08037.hk,中國生物科技服務,21/07/24,0.4 / (14.89%),1.3%,0.71 / 77.5%,-,普通授權,先舊後新,31/07/24,已完成
00197.hk,亨泰,19/07/24,0.233 / (3.32%),13.32%,0.229 / (1.72%),粵商國際,普通授權,新股,12/08/24,已完成
06878.hk,鼎豐集團汽車,19/07/24,0.0904 / (20.0%),3061.6%,0.037 / (59.07%),-,特別授權,新股,未公佈,配股中
01942.hk,馬可數字科技,18/07/24,0.88 / (19.27%),20.0%,0.55 / (37.5%),華盛,普通授權,新股,-,已取消
00381.hk,權識國際,16/07/24,0.111 / (1.77%),176.62%,0.57 / 413.51%,中國北方,特別授權,新股,30/09/24,已完成
08513.hk,加和國際控股,15/07/24,0.072 / (19.1%),20.0%,0.14 / 94.44%,一盈,普通授權,新股,29/07/24,已完成
08056.hk,生活概念,11/07/24,0.0144 / (10.0%),19.49%,0.29 / 1913.89%,創陞,普通授權,新股,02/08/24,已完成
00145.hk,信能低碳,09/07/24,0.15 / 0.0%,20.0%,0.17 / 13.33%,中泰,普通授權,新股,-,已取消
00209.hk,瀛晟科學,08/07/24,0.2 / (9.1%),18.8%,0.176 / (12.0%),-,特別授權,新股,26/08/24,已完成
00673.hk,中國衛生集團,08/07/24,0.8 / (14.9%),3.13%,0.34 / (57.5%),大灣區深港,普通授權,先舊後新,17/07/24,已完成
00673.hk,中國衛生集團,07/07/24,0.8 / (14.9%),12.2%,0.34 / (57.5%),-,特別授權,新股 - 代價發行,未公佈,配股中
00508.hk,鼎億集團投資,03/07/24,0.47 / (11.3%),15.6%,0.36 / (23.4%),英皇,普通授權,新股,05/08/24,已完成
00712.hk,卡姆丹克太陽能,02/07/24,0.117 / (19.86%),5.93%,0.095 / (18.8%),-,普通授權,新股,未公佈,配股中
00092.hk,冠軍科技集團,28/06/24,0.175 / (13.79%),20.0%,0.189 / 8.0%,富中 & 結好,普通授權,新股,19/07/24,已完成
01280.hk,奇點國峰,28/06/24,0.512 / (20.0%),20.0%,4.02 / 685.16%,-,普通授權,新股,09/07/24,已完成
00290.hk,國富量子,28/06/24,0.9 / (10.0%),5.0%,1.68 / 86.67%,富強,普通授權,新股,24/07/24,已完成
08391.hk,基石科技控股,28/06/24,0.55 / 5.8%,2.76%,0.36 / (34.55%),-,特別授權,新股,-,已取消
02252.hk,微創機器人－Ｂ,27/06/24,9.1 / (14.63%),1.35%,18.2 / 100.0%,-,普通授權,新股,05/07/24,已完成
08427.hk,萬順瑞強集團,27/06/24,0.08 / (11.1%),20.0%,20.75 / 25837.5%,-,普通授權,新股,17/07/24,已完成
00572.hk,未來世界控股,26/06/24,0.7 / 0.0%,0.62%,0.6 / (14.29%),-,普通授權,新股 - 代價發行,31/07/24,已完成
08523.hk,常滿控股,26/06/24,0.225 / (10.0%),20.0%,0.226 / 0.44%,阿仕特朗,普通授權,新股,-,已取消
01150.hk,米蘭站,25/06/24,0.08 / 2.5%,20.0%,0.15 / 87.5%,國投,普通授權,新股,16/07/24,已完成
00834.hk,康大食品,25/06/24,0.25 / 25.0%,20.0%,0.169 / (32.4%),萬海,普通授權,新股,16/07/24,已完成
01303.hk,滙力資源,25/06/24,0.48 / (12.7%),3.8%,0.247 / (48.54%),-,普通授權,新股,24/07/24,已完成
08537.hk,創輝珠寶,25/06/24,0.12 / (32.2%),135.0%,0.172 / 43.33%,第一上海,特別授權,新股,未公佈,配股中
01931.hk,華檢醫療,25/06/24,0.7 / (18.6%),20.0%,2.21 / 215.71%,聖衡金融,普通授權,新股,24/07/24,已完成
08107.hk,細葉榕科技,24/06/24,7.0 / (7.28%),6.31%,0.265 / (96.21%),昌利,普通授權,新股,-,已取消
00264.hk,中聯發展控股,24/06/24,0.9 / (10.89%),9.69%,1.44 / 60.0%,-,普通授權,新股,-,已取消
00020.hk,商湯－Ｗ,21/06/24,1.2 / (9.1%),6.45%,1.64 / 36.67%,國泰君安 & 華泰金融,普通授權,新股,27/06/24,已完成
02368.hk,鷹美,21/06/24,4.65 / 2.2%,7.56%,3.58 / (23.01%),-,普通授權,新股 - 代價發行,未公佈,配股中
00527.hk,瑞風新能源,21/06/24,0.196 / (21.28%),42.7%,0.44 / 124.49%,-,特別授權,新股,未公佈,配股中
00508.hk,鼎億集團投資,21/06/24,0.47 / (15.0%),16.0%,0.36 / (23.4%),-,普通授權,新股,-,已取消
06128.hk,烯石電車新材料,20/06/24,0.125 / 3.3%,4.71%,0.208 / 66.4%,-,普通授權,新股,28/06/24,已完成
00286.hk,愛帝宮,20/06/24,1.68 / (14.29%),30.0%,1.31 / (22.02%),貝塔國際,特別授權,新股,06/11/24,已完成
01468.hk,京基金融國際,18/06/24,0.25 / 29.5%,10.9%,0.285 / 14.0%,東方滙財,特別授權,新股,-,已取消
02899.hk,紫金礦業,18/06/24,15.5 / (5.02%),4.39%,20.25 / 30.65%,-,普通授權,新股,25/06/24,已完成
08179.hk,百利達集團控股,18/06/24,0.1 / (11.0%),19.8%,0.014 / (86.0%),-,普通授權,新股,28/06/24,已完成
06696.hk,多想雲,17/06/24,0.25 / (1.96%),13.33%,0.73 / 192.0%,-,普通授權,新股,15/07/24,已完成
01176.hk,珠光控股,17/06/24,0.2 / 21.21%,22.49%,0.08 / (60.0%),-,特別授權,新股,未公佈,配股中
06855.hk,亞盛醫藥－Ｂ,14/06/24,24.0985 / 4.55%,8.37%,77.8 / 222.84%,-,普通授權,新股,21/06/24,已完成
01949.hk,佰達國際控股,14/06/24,0.375 / (18.48%),13.33%,0.114 / (69.6%),昌利,普通授權,新股,02/07/24,已完成
01725.hk,洲際航天科技,14/06/24,1.01 / (14.41%),8.89%,0.78 / (22.77%),-,普通授權,新股,26/06/24,已完成
08156.hk,國藥科技股份,14/06/24,0.1 / (18.7%),245.0%,0.224 / 124.0%,-,普通授權,新股,15/11/24,已完成
00648.hk,京玖康療,13/06/24,0.01 / (97.4%),276.0%,0.38 / 3700.0%,-,特別授權,新股,未公佈,配股中
02211.hk,大健康國際,12/06/24,0.08 / 0.0%,4.49%,1.4 / 1650.0%,-,普通授權,新股,未公佈,配股中
02433.hk,中天湖南集團,10/06/24,0.162 / (16.9%),20.0%,0.18 / 11.11%,一盈,普通授權,新股,18/06/24,已完成
00707.hk,亞洲電視控股,07/06/24,0.16 / (12.57%),20.0%,0.068 / (57.5%),金利豐,普通授權,新股,19/07/24,已完成
01732.hk,象興國際,07/06/24,0.12 / (14.9%),6.67%,0.125 / 4.17%,一盈,普通授權,新股,14/06/24,已完成
00286.hk,愛帝宮,07/06/24,0.042 / (8.7%),14.7%,1.31 / 3019.05%,貝塔國際,普通授權,新股,-,已取消
08178.hk,中國信息科技,05/06/24,1.0 / (13.04%),18.6%,2.75 / 175.0%,-,普通授權,新股 - 代價發行,12/07/24,已完成
01171.hk,兗礦能源,04/06/24,17.39 / (9.9%),10.0%,8.16 / (53.08%),中金,普通授權,新股,12/06/24,已完成
08403.hk,天平道合,03/06/24,1.0 / 20.48%,3.33%,1.54 / 54.0%,-,普通授權,新股,24/06/24,已完成
08238.hk,惠陶集團,31/05/24,0.056 / (18.84%),20.0%,0.206 / 267.86%,恆宇,普通授權,新股,28/06/24,已完成
00767.hk,中基長壽科學,30/05/24,0.215 / (5.62%),20.0%,0.5 / 132.56%,-,普通授權,新股,06/06/24,已完成
01069.hk,中國健康科技集團,29/05/24,0.063 / (13.7%),19.97%,0.043 / (31.75%),昌利,普通授權,新股,-,已取消
00493.hk,國美零售,29/05/24,1.24 / 3547.06%,0.27%,0.021 / (98.31%),-,普通授權,新股,未公佈,配股中
02399.hk,中國安儲能源,29/05/24,0.5 / 58.73%,1.53%,0.39 / (22.0%),-,普通授權,新股,19/06/24,已完成
00723.hk,信保環球控股,29/05/24,0.0193 / (16.09%),20.0%,0.4 / 1972.54%,大灣區深港,普通授權,新股,21/06/24,已完成
08297.hk,海納星空科技,29/05/24,0.1 / 6.4%,17.0%,0.039 / (61.0%),盈立,普通授權,新股,24/06/24,已完成
00302.hk,中手游,29/05/24,1.68 / 12.8%,3.63%,0.485 / (71.13%),-,普通授權,新股,22/07/24,已完成
01872.hk,冠轈控股,28/05/24,0.63 / (12.5%),20.0%,3.99 / 533.33%,-,普通授權,新股,07/06/24,已完成
01025.hk,嘉藝控股,24/05/24,0.1 / 38.89%,20.0%,0.285 / 185.0%,-,普通授權,新股,-,已取消
00554.hk,漢思集團控股,24/05/24,0.7961 / 99.03%,7.05%,0.265 / (66.71%),-,特別授權,新股,31/07/24,已完成
01640.hk,千循科技,24/05/24,0.5 / (13.79%),20.0%,5.24 / 948.0%,路華,普通授權,新股,07/06/24,已完成
01059.hk,看通集團,24/05/24,0.295 / (16.9%),20.0%,0.38 / 28.81%,金利豐,普通授權,新股,17/06/24,已完成
00456.hk,新城市建設發展,24/05/24,0.866 / 76.73%,15.76%,0.5 / (42.26%),-,普通授權,新股 - 代價發行,未公佈,配股中
01894.hk,恒益控股,23/05/24,0.054 / (18.2%),20.0%,0.028 / (48.15%),恆宇,普通授權,新股,19/06/24,已完成
08623.hk,中國蜀塔,22/05/24,0.02 / (4.76%),20.0%,0.125 / 525.0%,-,普通授權,新股,16/08/24,已完成
09608.hk,宋都服務,22/05/24,0.198 / (19.5%),10.09%,0.103 / (47.98%),-,普通授權,新股,-,已取消
08391.hk,基石科技控股,22/05/24,0.64 / 12.28%,2.76%,0.36 / (43.75%),建泉融資,特別授權,新股,未公佈,配股中
