"代號","名稱","公佈日","配股價 / 溢價(折讓)","新股比例","現價 / 溢價(折讓)","配售代理","授權方式","配售方式","完成配售日期","狀態"
01942.hk,馬可數字科技,11/12/24,0.99 / (15.38%),22.77%,0.55 / (44.44%),-,特別授權,新股,12/02/25,已完成
02322.hk,新質數字,11/12/24,0.7 / (7.89%),19.41%,0.405 / (42.14%),瑞森港通 & 亞太 & 昌利 & 中國中恒金融 & 鼎石 & 元庫,普通授權,新股,-,已取消
08115.hk,上海青浦消防,08/12/24,1.1 / (19.8%),14.9%,5.6 / 409.09%,-,特別授權,新股,未公佈,配股中
08406.hk,中國口腔產業,06/12/24,0.14 / (4.76%),20.0%,0.117 / (16.43%),-,普通授權,新股,24/01/25,已完成
06880.hk,騰邦控股,06/12/24,0.127 / (90.5%),90.0%,0.134 / 5.51%,-,特別授權,新股,未公佈,配股中
01372.hk,中國碳中和,04/12/24,0.22 / (13.73%),20.0%,1.79 / 713.64%,-,普通授權,新股,02/04/25,已完成
00711.hk,亞洲聯合基建控股,03/12/24,0.5 / 11.11%,5.37%,0.43 / (14.0%),-,普通授權,新股 - 代價發行,20/12/24,已完成
02252.hk,微創機器人－Ｂ,03/12/24,7.85 / (19.98%),3.57%,18.2 / 131.85%,摩根大通 & 中金公司,普通授權,新股,10/12/24,已完成
00755.hk,大方廣瑞德,03/12/24,1.3 / (18.75%),20.0%,0.54 / (58.46%),-,特別授權,新股,31/03/25,已完成
01421.hk,恒昌集團國際,28/11/24,0.2 / (19.68%),13.33%,0.56 / 180.0%,宏智,普通授權,新股,09/12/24,已完成
01011.hk,泰凌醫藥,28/11/24,0.33 / (17.5%),155.31%,0.54 / 63.64%,-,特別授權,新股,21/02/25,已完成
01274.hk,知行科技,26/11/24,17.58 / (13.19%),1.96%,16.22 / (7.74%),國泰君安,普通授權,新股,未公佈,配股中
08297.hk,海納星空科技,26/11/24,0.04 / 21.21%,19.99%,0.039 / (2.5%),鼎石 & 瑞森港通,普通授權,新股,30/12/24,已完成
00810.hk,中國鑄晨８１,25/11/24,0.153 / (16.85%),20.0%,0.141 / (7.84%),金利豐,普通授權,新股,13/12/24,已完成
01991.hk,大洋集團,22/11/24,0.12 / 29.032%,0.513%,0.69 / 475.0%,-,普通授權,新股,10/12/24,已完成
02521.hk,升輝清潔,22/11/24,0.305 / (15.28%),8.06%,0.295 / (3.28%),元宇宙,普通授權,新股,13/12/24,已完成
01541.hk,宜明昂科－Ｂ,21/11/24,7.05 / (16.27%),8.86%,10.56 / 49.79%,中金公司,普通授權,新股,28/11/24,已完成
02105.hk,來凱醫藥－Ｂ,21/11/24,13.36 / (15.01%),4.52%,17.94 / 34.28%,中信,普通授權,新股,27/11/24,已完成
09933.hk,GHW INTL,21/11/24,2.6 / (12.75%),0.95%,1.55 / (40.38%),一盈,普通授權,新股,10/12/24,已完成
09880.hk,優必選,20/11/24,83.88 / (19.96%),1.65%,84.05 / 0.2%,國泰君安 & 中信里昂 & TradeGo Markets,普通授權,新股,26/11/24,已完成
