"代號","名稱","公佈日期","要約價 /溢價(折讓)","現價 /溢價(折讓)","出售股份","新主","開始接納","最後接納","公佈三年","狀態"
00410.hk,ＳＯＨＯ中國,16/06/21,5.0 /31.6%,0.56 /(88.8%),-,Two Cities Master Holdings II Limited (黑石集團),未公佈,未公佈,-,待公佈
06928.hk,萬馬控股,08/06/21,0.5667 /(80.12%),0.39 /(31.18%),51.11%,Billion Legend Company Limited (馬小秋),29/06/21,20/07/21,20/07/24,要約完成
01620.hk,富盈環球集團,07/06/21,0.2278 /18.65%,0.061 /(73.22%),75.0%,明日教育科技有限公司 (Liu Xue Bin & Kou Chung Yin Mariana),28/06/21,19/07/21,19/07/24,要約完成
01826.hk,豐展控股,13/05/21,0.158 /37.4%,0.065 /(58.86%),53.62%,Masterveyor Holdings Limited (吳建韶),03/06/21,02/07/21,02/07/24,要約完成
03860.hk,ＥＰＳ創健科技,06/05/21,0.988 /(45.1%),0.48 /(51.42%),75.0%,EPS Holdings Inc (嚴浩),26/05/21,16/06/21,16/06/24,要約完成
00936.hk,佳兆業資本,28/04/21,0.45 /(21.1%),0.108 /(76.0%),30.6%,盛君集團有限公司 (佳兆業集團 HKEX: 1638),28/05/21,18/06/21,18/06/24,要約完成
01867.hk,標準發展集團,27/04/21,0.22 /83.33%,0.169 /(23.18%),-,Fujincheng Investment Holdings Co Ltd (劉展程),18/05/21,08/06/21,08/06/24,要約完成
01725.hk,洲際航天科技,22/04/21,2.0 /(45.95%),0.78 /(61.0%),63.75%,香港航天科技集團有限公司,13/05/21,03/06/21,03/06/24,要約完成
01649.hk,內蒙古能建,20/04/21,1.8 /51.26%,1.19 /(33.89%),-,內蒙古能源建設投資 (集團) 有限公司 (內蒙古國資委管理),31/05/21,27/08/21,27/08/24,要約完成
08349.hk,硅鑫集團,15/04/21,0.2 /(67.7%),2.28 /1040.0%,-,LF International Pte. Ltd (李玉保),21/05/21,11/06/21,11/06/24,全購取消
01726.hk,HKE HOLDINGS,09/04/21,0.188 /(27.69%),1.71 /809.57%,75.0%,Flourish Nation Enterprises Limited (連浩民),29/04/21,21/05/21,21/05/24,要約完成
01583.hk,親親食品,08/04/21,2.23 /(3.04%),1.32 /(40.81%),32.89%,Sure Wonder Limited (許清流 - 執行董事及主席),21/05/21,11/06/21,11/06/24,要約完成
02606.hk,藍光嘉寶服務,22/03/21,51.0571 /(2.56%),54.15 /6.06%,-,碧桂園服務控股有限公司 (HKEX: 6098),03/05/21,16/07/21,16/07/24,要約完成
00905.hk,胡桃資本,19/03/21,0.11 /37.5%,1.68 /1427.27%,-,領華投資控股有限公司 (蒙品文),30/04/21,21/05/21,21/05/24,要約完成
01743.hk,蒼南儀錶,12/03/21,22.0 /10.89%,21.95 /(0.23%),-,浙江蒼南儀錶集團股份有限公司 (HKEX: 1743),01/04/21,28/06/21,28/06/24,要約完成
03992.hk,創毅控股,08/03/21,1.456 /(5.5%),1.44 /(1.1%),53.51%,中外運航運有限公司 (招商局集團 - 國資委),16/07/21,06/08/21,06/08/24,要約完成
00616.hk,高山企業,11/02/21,0.5 /23.5%,0.07 /(86.0%),-,運榮投資有限公司 (永義國際 HKEX: 1218),26/03/21,30/04/21,30/04/24,要約完成
00683.hk,嘉里建設,10/02/21,18.8 /(19.83%),20.25 /7.71%,-,Flourish Harmony Holdings Company Limited (順豐控股股份有限公司),未公佈,未公佈,-,待公佈
06188.hk,迪信通,01/02/21,3.8429 /7.04%,0.174 /(95.47%),-,珠海華發實體產業 (珠海市國資委),30/04/21,21/05/21,21/05/24,要約完成
08198.hk,加幂科技,28/01/21,0.75 /8.7%,3.09 /312.0%,-,500.com Limited (NYSE: WBAI),28/05/21,18/06/21,18/06/24,要約完成
00524.hk,長城天下,21/01/21,0.1687 /(30.6%),0.32 /89.69%,-,Beta Dynamic Limited (張少輝),28/01/21,25/02/21,25/02/24,要約完成
01158.hk,開元酒店,20/01/21,18.15 /24.7%,13.54 /(25.4%),-,Kunpeng Asia Limited,18/03/21,14/05/21,14/05/24,要約完成
00510.hk,時富金融服務集團,31/12/20,0.75 /7.1%,0.36 /(52.0%),-,Celestial Investment Group Limited (時富投資 HKEX: 1049),02/06/21,23/06/21,23/06/24,全購取消
08316.hk,中國紅包,22/12/20,0.075 /(86.61%),0.182 /142.67%,-,全通集團控股有限公司 (行遠),20/01/21,10/02/21,10/02/24,要約完成
01010.hk,天璽曜１１,22/12/20,1.345 /49.44%,0.098 /(92.71%),34.57%,中盈國際控股集團有限公司 (段洪濤 & 段春超),12/01/21,02/02/21,02/02/24,要約完成
08412.hk,新愛德集團,17/12/20,0.08 /(55.06%),0.37 /362.5%,55.28%,施清流,22/01/21,16/02/21,16/02/24,要約完成
01415.hk,高偉電子,10/12/20,5.87 /2.98%,29.7 /405.96%,-,立景創新科技有限公司 (廣州立景),15/01/21,18/02/21,18/02/24,要約完成
03300.hk,中國玻璃,03/12/20,0.9 /(17.4%),0.34 /(62.22%),-,協聯投資有限公司 (信義玻璃 HKEX: 0868),未公佈,未公佈,-,待公佈
