"代號","名稱","公佈日期","要約價 /溢價(折讓)","現價 /溢價(折讓)","出售股份","新主","開始接納","最後接納","公佈三年","狀態"
08362.hk,運興泰集團,01/02/24,0.052 /48.57%,0.055 /5.77%,76.78%,鍾育華 & 歐紅蓮 & 鍾舉至 & 鍾荣至,15/04/24,06/05/24,06/05/27,要約完成
00854.hk,威雅利,01/02/24,3.3 /49.32%,18.5 /460.61%,21.24%,香港雅創台信電子有限公司 (上海雅創 SZ: 301099),01/08/24,27/09/24,27/09/27,要約完成
08426.hk,雅居投資控股,31/01/24,0.35 /22.81%,0.25 /(28.57%),59.23%,俊和海外控股有限公司 (亞洲聯合基建 HKEX: 0711),05/03/24,26/03/24,26/03/27,要約完成
00711.hk,亞洲聯合基建控股,31/01/24,0.35 /22.81%,0.43 /22.86%,59.23%,俊和海外控股有限公司,05/03/24,26/03/24,26/03/27,要約完成
08070.hk,僑洋國際控股,26/01/24,0.15 /(35.9%),0.455 /203.33%,63.0%,Century Lead International Limited (鍾志華),08/04/24,29/04/24,29/04/27,要約完成
00416.hk,錦州銀行,26/01/24,1.38 /(-0.0%),1.38 /(-0.0%),-,遼寧金融控股集團有限公司 (遼寧省財政廳),23/02/24,12/04/24,12/04/27,要約完成
08356.hk,進業控股,15/01/24,0.014 /16.67%,0.5 /3471.43%,-,Shunleetat (BVI) Limited (簡國祥 - 執行董事及股東),29/02/24,16/04/24,16/04/27,要約完成
00115.hk,鈞濠集團,09/01/24,0.13 /30.0%,2.6 /1900.0%,45.2%,Rhenfield Development Corp (曾義 & 曾芷諾),29/02/24,21/03/24,21/03/27,要約完成
03331.hk,維達國際,15/12/23,23.5 /19.36%,23.45 /(0.21%),-,Isola Castle Ltd (Sukanto Tanoto),08/03/24,12/04/24,12/04/27,要約完成
08519.hk,新享時代,07/12/23,0.0776 /14.1%,0.145 /86.86%,60.53%,中軍集團股份有限公司 (彭犇 & 趙宏),19/01/24,09/02/24,09/02/27,要約完成
00906.hk,中糧包裝,06/12/23,6.87 /32.1%,7.13 /3.78%,-,Champion HOLDING (BVI) CO LTD (國資委 & 全國社會保障基金理事會),30/07/24,03/09/24,03/09/27,全購取消
03816.hk,ＫＦＭ金德,01/12/23,0.3 /3.45%,0.31 /3.33%,70.0%,KIG Real Estate Holdings Limited,09/02/24,01/03/24,01/03/27,要約完成
01029.hk,鐵貨,08/11/23,0.118 /32.58%,0.65 /450.85%,4.72%,AXIOMA CAPITAL FZE LLC (Nikolai Valentinovich Levitskii - 董事會主席),22/12/23,22/02/24,22/02/27,要約完成
01028.hk,千百度,08/11/23,0.16 /39.13%,0.212 /32.5%,-,Orchid Valley Holdings Limited (程璇璇),20/12/23,18/03/24,18/03/27,要約完成
03963.hk,融眾金融,30/10/23,0.38 /(9.52%),0.245 /(35.53%),-,金榜集團控股有限公司 (控股股東),25/01/24,15/02/24,15/02/27,要約完成
01796.hk,METASPACEX,10/10/23,0.4603 /(76.87%),3.43 /645.17%,75.0%,元豐創投有限公司 (黃后),29/11/23,20/12/23,20/12/26,要約完成
08300.hk,今米房集團,09/10/23,0.032 /(81.92%),0.1 /212.5%,-,天盾投資有限公司 (周峰),30/10/23,20/11/23,20/11/26,要約完成
00970.hk,新耀萊,05/10/23,0.9 /(10.0%),0.53 /(41.11%),-,施清流,24/11/23,08/02/24,08/02/27,要約完成
02226.hk,老恒和釀造,28/09/23,0.5034 /19.9%,0.65 /29.12%,-,吳興城投（香港）有限公司 (湖州市吳興區財政局),10/11/23,15/12/23,15/12/26,要約完成
00789.hk,雅天妮集團,27/09/23,0.1812 /(18.74%),0.345 /90.4%,64.13%,迅速發展有限公司 (陳龍 & 林晨潔 & 陳乃恩),30/10/23,20/11/23,20/11/26,要約完成
01780.hk,榮尊國際控股,19/09/23,0.503 /(79.72%),1.18 /134.59%,75.0%,Kyosei Technology Inc (柳瀨健一 & 金子博 & 潘楠),20/10/23,10/11/23,10/11/26,要約完成
08131.hk,辰罡科技,07/09/23,0.0759 /65.0%,0.098 /29.12%,74.81%,Bravo Merit Management Groups Limited (梁衞明),13/10/23,03/11/23,03/11/26,要約完成
08295.hk,金慧科技,28/08/23,0.0304 /1.33%,0.035 /15.13%,-,NINEGO Corporation (胡仕龍 & 劉瑩瑩),03/10/23,24/10/23,24/10/26,要約完成
01869.hk,貓屎咖啡控股,10/08/23,0.13 /(47.8%),0.084 /(35.38%),-,Kafelaku Coffee Industrial Limited (梁乃銘),31/08/23,03/10/23,03/10/26,要約完成
01894.hk,恒益控股,04/08/23,0.1668 /(74.43%),0.028 /(83.21%),-,徐愛華,21/09/23,12/10/23,12/10/26,要約完成
02882.hk,金至尊集團,31/07/23,0.748 /11.64%,0.63 /(15.78%),-,六福至尊投資集團 (六福集團: HKEX 0590),19/01/24,09/02/24,09/02/27,要約完成
08107.hk,細葉榕科技,21/07/23,2.18 /(69.72%),0.265 /(87.84%),56.82%,劉志榮,24/08/23,14/09/23,14/09/26,要約完成
00639.hk,首鋼資源,11/07/23,2.4 /17.65%,2.6 /8.33%,-,八方金融有限公司 (首鋼福山資源集團 HKEX: 639),01/08/23,12/09/23,12/09/26,要約完成
