1级分类代码,1级分类名称,1级分类公告数量,2级分组代码,2级分组名称,3级分类代码,3级分类名称,公告数量,完整路径
70000,債券及結構性產品,1106,26,債務證券,73000,停牌 － 債務證券,0,70000(債券及結構性產品) → 26(債務證券) → 73000(停牌 － 債務證券)
70000,債券及結構性產品,1106,26,債務證券,73010,短暫停牌 － 債務證券,0,70000(債券及結構性產品) → 26(債務證券) → 73010(短暫停牌 － 債務證券)
70000,債券及結構性產品,1106,26,債務證券,75500,不尋常價格/成交量變動 - 標準內容或超級內容 - 債務證券,0,70000(債券及結構性產品) → 26(債務證券) → 75500(不尋常價格/成交量變動 - 標準內容或超級內容 - 債務證券)
30000,上市文件,63,,,30200,資本化發行,0,30000(上市文件) → 30200(資本化發行)
30000,上市文件,63,,,30300,按《上市規則》規定視為新上市,0,30000(上市文件) → 30300(按《上市規則》規定視為新上市)
30000,上市文件,63,,,30400,交換證券或取代原證券,0,30000(上市文件) → 30400(交換證券或取代原證券)
30000,上市文件,63,,,30500,介紹,0,30000(上市文件) → 30500(介紹)
30000,上市文件,63,,,30600,發售現有證券,0,30000(上市文件) → 30600(發售現有證券)
30000,上市文件,63,,,30800,公開招股,0,30000(上市文件) → 30800(公開招股)
30000,上市文件,63,,,30900,其他,0,30000(上市文件) → 30900(其他)
30000,上市文件,63,,,31000,配售上市後的新證券類別,0,30000(上市文件) → 31000(配售上市後的新證券類別)
30000,上市文件,63,,,30100,認可集體投資計劃,35,30000(上市文件) → 30100(認可集體投資計劃)
30000,上市文件,63,,,31100,供股,18,30000(上市文件) → 31100(供股)
30000,上市文件,63,,,30700,發售以供認購,10,30000(上市文件) → 30700(發售以供認購)
30000,上市文件,63,,,31200,補充上市文件,10,30000(上市文件) → 31200(補充上市文件)
